,10107,11308,11850,12490,14541,14593
19710104,,83.125,72.625,313,53.5,
19710105,,82,72.5,316.25,53.625,
19710106,,83.375,72.125,318,53.875,
19710107,,85.875,72,316.25,54.125,
19710108,,85.875,71,314.5,54.25,
19710111,,85.75,70,312.5,54,
19710112,,85.5,69.5,315.75,53.25,
19710113,,86,67.875,315.625,50.875,
19710114,,86,68.125,314.5,51,
19710115,,85.75,67.5,310,51,
19710118,,84.75,68,311.75,51.75,
19710119,,84.75,68.375,312.75,52.25,
19710120,,85.375,68.875,314.75,52.375,
19710121,,85.5,69.375,315.5,52.5,
19710122,,85.125,70.25,316.5,53,
19710125,,85.75,70,321.75,52.25,
19710126,,85.5,69.875,326,52,
19710127,,85.75,69.5,322.5,51.875,
19710128,,87,69.625,317.5,52.125,
19710129,,87,70.625,325.5,53.25,
19710201,,86.5,72,327.25,54,
19710202,,86.375,71.125,327.75,52.875,
19710203,,86.375,70.75,328.625,53.375,
19710204,,86,70.25,330.5,52.625,
19710205,,86,70.75,336.5,53.25,
19710208,,86,71,340.75,53.375,
19710209,,86.625,71.75,338.5,52.625,
19710210,,87.25,72.5,337.25,52.875,
19710211,,88.25,71.875,338.75,52.875,
19710212,,88.25,72.25,339.5,54,
19710216,,88.5,74.375,341.625,54.25,
19710217,,87,74.75,336.5,54.625,
19710218,,86.25,74.875,329.25,54.75,
19710219,,85.75,74.5,328.25,54.75,
19710222,,84.5,74.25,330.5,54.25,
19710223,,85.25,74.5,335.25,53.75,
19710224,,85.875,74.5,338.25,54.25,
19710225,,86.375,75.875,334,55.75,
19710226,,87.125,75.125,336.5,54.875,
19710301,,87.75,74.625,339,55,
19710302,,87.75,75,338,55.625,
19710303,,87.875,75.5,337.25,56,
19710304,,89.625,77.75,340.75,56.25,
19710305,,89.5,78.125,345.5,57.875,
19710308,,90,78,348.5,58,
19710309,,91.5,76.875,349,58,
19710310,,92.5,75.75,348.75,57.75,
19710311,,91.5,76.25,347.75,58,
19710312,,91.75,76.375,354,58,
19710315,,91.25,77.375,363.5,58.875,
19710316,,92.75,78,362.5,59.375,
19710317,,93.25,77.75,363.5,58.5,
19710318,,94.25,77.25,361,58.25,
19710319,,94.375,76.875,360.625,57.5,
19710322,,93.875,77,358.5,57.25,
19710323,,92.375,77.625,355.75,58,
19710324,,93,77.375,355,57.25,
19710325,,92.125,76.875,356,56.75,
19710326,,93.5,77.625,358,56.875,
19710329,,94.75,78,356.5,56.25,
19710330,,94.5,79,357,56.25,
19710331,,94.25,79.75,357.5,56.5,
19710401,,95,79.5,356,56.375,
19710402,,94.625,79.375,358,56.5,
19710405,,95.375,80.375,360.75,57.125,
19710406,,97,80.75,361.125,58.625,
19710407,,97.75,80.5,361,59.625,
19710408,,100.5,81.25,356.75,59.625,
19710412,,104.25,81.875,357,60.125,
19710413,,101.25,81.75,358,59.625,
19710414,,99,81.25,358.75,59.5,
19710415,,99,81.75,356.25,60.5,
19710416,,98.5,81.25,352,61.625,
19710419,,99.25,81.375,354,62.875,
19710420,,98,80.5,356,62.5,
19710421,,97.5,80.25,353,62.125,
19710422,,96.25,80.625,352,62,
19710423,,96.375,80.875,355,62.75,
19710426,,98,81,356,62,
19710427,,97.625,80.25,358,61.625,
19710428,,97.5,80.5,361.25,62.125,
19710429,,97.25,80.25,362,62.5,
19710430,,96.125,79.625,357.75,62.875,
19710503,,96,78.375,353.25,62.125,
19710504,,97,78.25,353.5,61.5,
19710505,,97.5,78.125,353,61.5,
19710506,,98,78,351.75,61,
19710507,,98.25,78.375,347,60.5,
19710510,,98.25,78.125,344.75,60.5,
19710511,,100.25,78.125,342.25,61,
19710512,,101,78.875,342.5,60.875,
19710513,,101.25,78.375,340.25,59.625,
19710514,,102,78.5,335.5,58.875,
19710517,,99,77.75,334,58.25,
19710518,,99.5,77.75,338,58,
19710519,,100,78,342,58.125,
19710520,,100.75,77.5,348,58.5,
19710521,,101.75,77.125,344,58,
19710524,,100.375,76.5,341,57.25,
19710525,,99.25,76.125,337,56.5,
19710526,,99.625,75.375,337.25,56.625,
19710527,,100.125,74.75,334,56.875,
19710528,,100.625,75.875,327,56.625,
19710601,,100.25,76,328.75,57.375,
19710602,,101,76.75,326.5,58.125,
19710603,,101.75,77.75,321.25,58.875,
19710604,,102.875,77,324.25,60,
19710607,,104.375,77.25,317.75,59.625,
19710608,,103.75,76.75,312.5,59.125,
19710609,,103,77.5,318.25,58.375,
19710610,,103,78.375,321.5,58.625,
19710611,,104,77.75,324.5,58.625,
19710614,,104.25,77.75,318.625,58.625,
19710615,,104.5,78,321.5,58.625,
19710616,,104.125,78.125,323.5,57.5,
19710617,,103,77.875,321,56.875,
19710618,,100,76.125,315.5,56.25,
19710621,,100.75,74.875,314,54.75,
19710622,,101,74.5,314.75,55.125,
19710623,,101.125,74.375,315.25,55,
19710624,,100.875,74.625,313,55.625,
19710625,,100.25,74.75,311.25,56.125,
19710628,,100.5,74.625,311.75,56,
19710629,,101.5,75,314,56.375,
19710630,,102.625,75.375,317,56.875,
19710701,,103.5,75.75,317.75,56.375,
19710702,,103.75,76.125,319,56.625,
19710706,,103,75.875,316.5,56.875,
19710707,,102.5,76.625,311.5,56.5,
19710708,,102,78.625,311.25,56.875,
19710709,,101,78.625,316,57.25,
19710712,,100.875,79.25,315,57.125,
19710713,,99.875,77.75,302,56.625,
19710714,,98.5,78.25,300,57,
19710715,,100.625,78.375,298,56.875,
19710716,,100.75,78.125,294.5,57,
19710719,,102,78.25,296.5,57.125,
19710720,,103.125,78.5,299,57.5,
19710721,,103.25,78.75,301.75,57.25,
19710722,,103.25,78.75,299.5,57.125,
19710723,,103.25,79.375,298,57.75,
19710726,,103,79,296.75,58.75,
19710727,,102,78.125,292.75,58,
19710728,,101.25,77.125,299.5,57.75,
19710729,,99.625,76.375,296.75,57.875,
19710730,,99.875,76.5,291.25,57,
19710802,,99.75,76.75,293.75,57.125,
19710803,,99.25,75.375,290,56.75,
19710804,,99.625,74.75,287,55.75,
19710805,,100.25,74.125,287,55.875,
19710806,,101.125,73.625,285.5,55.625,
19710809,,101,72.75,284,55.125,
19710810,,101,73.125,286,55,
19710811,,102,73.875,291.25,55.25,
19710812,,102,75.75,296.75,55.75,
19710813,,102,73.875,295,55.375,
19710816,,103.75,70.5,314,54.5,
19710817,,102,71.625,315.75,54.125,
19710818,,101.5,70.625,310.25,53.125,
19710819,,102,70.125,307,52,
19710820,,104.5,70,309,52,
19710823,,108,71.125,314.75,53.5,
19710824,,108.625,71.75,318.25,55,
19710825,,108.25,72.25,314.75,55.75,
19710826,,107.5,72.25,314,55,
19710827,,108.875,71,315.5,54.5,
19710830,,108.875,70.625,310.125,54.25,
19710831,,109,70.875,304,53.875,
19710901,,108.75,70.75,301.5,54.75,
19710902,,108.5,71,299.5,54.875,
19710903,,109,71.375,307.75,55.625,
19710907,,109.25,72.75,310,56.25,
19710908,,109.25,73.75,310.5,56,
19710909,,109.25,74,306.375,55.375,
19710910,,107.75,73.5,305.25,54.5,
19710913,,107,73.125,300,55.125,
19710914,,105.75,72.125,299.75,55.625,
19710915,,107.375,72.25,303,55.625,
19710916,,106.5,72.125,301,55.25,
19710917,,106.75,71.75,300.75,55.75,
19710920,,107.25,71.375,304,55.625,
19710921,,106.625,70.875,305.5,55.5,
19710922,,106.875,69.875,307.75,55,
19710923,,106.5,69.5,305,55.5,
19710924,,107.75,68.75,304.75,55.25,
19710927,,107,68,303.875,55.125,
19710928,,107,69.625,304.25,55.25,
19710929,,107.75,70.625,302.75,55.5,
19710930,,108.5,72,303.75,56.125,
19711001,,109.75,73.125,306,56,
19711004,,111.25,73.25,306.5,55.75,
19711005,,111.25,72.875,307.75,55.75,
19711006,,111.5,72.125,309,56.25,
19711007,,113.5,72,308.5,56,
19711008,,114.25,70.875,304.75,55.75,
19711011,,113.25,71.625,305.75,55.625,
19711012,,109.5,71.25,315.125,55.25,
19711013,,109.25,70.5,309.25,55.125,
19711014,,106.75,70.125,307.75,54.875,
19711015,,107.625,70.5,308.75,54.375,
19711018,,107.75,70.875,306.25,54.5,
19711019,,107.5,71.5,309,54.125,
19711020,,107,70.375,305,53.25,
19711021,,108,69.875,304,52.5,
19711022,,110.5,71.375,301.625,52.25,
19711025,,109,71.125,302,53.125,
19711026,,108,70.75,299,53.375,
19711027,,107.5,70.375,297,53,
19711028,,108.5,70.25,298.25,54.375,
19711029,,109,70,300.5,55.25,
19711101,,108.5,69.375,292.375,54.5,
19711102,,108.625,70.375,295.5,53.875,
19711103,,111,71.25,303,54.875,
19711104,,111.5,71.875,300.25,54.25,
19711105,,111.625,70.375,300,53.625,
19711108,,112,70,299.25,53.375,
19711109,,112.75,69.5,299,52.75,
19711110,,111.5,69,297.25,50.5,
19711111,,107,68.25,292.25,51.5,
19711112,,107.5,68.25,294.25,51.625,
19711115,,106.375,67.875,294.25,51.125,
19711116,,106.75,68.375,302,51.875,
19711117,,107,68.625,301,52.75,
19711118,,107.25,68.5,294.75,51.875,
19711119,,105,69.25,293.5,51.375,
19711122,,104.5,69,291.75,50.5,
19711123,,105.5,68.125,290.5,50.5,
19711124,,105.25,67.875,291.75,50.75,
19711126,,108.25,68.375,298.75,52,
19711129,,108.75,69.5,302.25,52.75,
19711130,,108.25,68.875,305.5,52.75,
19711201,,110,69.25,309.75,53,
19711202,,112,70.25,309.5,53.375,
19711203,,113.25,71.375,321,54.5,
19711206,,111.5,71,313.25,54.875,
19711207,,110.75,70.75,317,54.375,
19711208,,111.75,70.75,313.5,52.5,
19711209,,113,70.375,317.5,53.75,
19711210,,115,71.25,324.5,53.875,
19711213,,115,71.25,324.25,54.75,
19711214,,115,71.875,320,54.75,
19711215,,114.625,73.125,327.125,55.25,
19711216,,114.5,74.375,339,55.875,
19711217,,116,73.625,339,55.75,
19711220,,118.875,74,341.5,56.25,
19711221,,124.5,73.75,346,55.75,
19711222,,123.375,72.625,341.25,55.25,
19711223,,119.875,72.5,336,54.875,
19711227,,119.25,73.5,333.5,55.125,
19711228,,119.875,73.75,339.25,56.25,
19711229,,120,74,337,57.375,
19711230,,119.25,73.625,335,58,
19711231,,122,73.75,336.5,57.375,
19720103,,120.5,73,333,57.75,
19720104,,120.75,74.25,340,58.75,
19720105,,120,75.75,341,59.5,
19720106,,116.75,76.625,341,59.875,
19720107,,116,76.25,338.75,60,
19720110,,117.25,75.25,338,59.125,
19720111,,118.5,75.25,341,59.375,
19720112,,118.125,75,342.25,60,
19720113,,116,74.75,341,59.75,
19720114,,116.25,74.875,350,59.125,
19720117,,115.375,75.625,349.5,59.5,
19720118,,115.25,76.125,349.5,60.125,
19720119,,115,77.125,353.25,59.75,
19720120,,112.75,77.25,363.5,60,
19720121,,114.5,76.25,368.25,60,
19720124,,116,74.25,360.5,59.625,
19720125,,117,74.625,366,59.25,
19720126,,116.75,74.875,368.75,59.5,
19720127,,117.125,75.75,368.25,60,
19720128,,118,75.5,368.25,60.5,
19720131,,119.75,75.25,368,59.875,
19720201,,120,75.25,369,60.25,
19720202,,123.25,75.625,373.5,60.25,
19720203,,123.25,76.25,373.25,60.25,
19720204,,123.25,75.5,369.75,60.25,
19720207,,121.5,76.125,368.5,59.875,
19720208,,122.5,75.75,372.25,59.875,
19720209,,123.375,75.875,373.75,59.625,
19720210,,122.5,76.25,372,59.125,
19720211,,123.75,76.5,373.75,58.625,
19720214,,124.25,76.5,369,57.125,
19720215,,125.25,76.875,369.75,57,
19720216,,127.5,77.5,369.375,57.875,
19720217,,127.5,77.125,367.75,57.875,
19720218,,126,76.75,368.75,57.375,
19720222,,125.5,76.875,368.5,57.5,
19720223,,125.75,76.5,369,57.875,
19720224,,124.5,76.875,364.75,57.25,
19720225,,125,76.75,372.5,57.75,
19720228,,124.25,76.875,367,58.125,
19720229,,124.875,75.5,368.5,59.375,
19720301,,126.5,75.375,372.5,59.5,
19720302,,127.5,75.25,376.25,59.375,
19720303,,127.625,74.625,377.5,59,
19720306,,128.75,74.875,380,59.625,
19720307,,129,75.375,383.75,59.25,
19720308,,132.75,76.625,382,59.75,
19720309,,134.125,76.625,383,59.875,
19720310,,131.25,75.375,378.25,59.75,
19720313,,126.25,73.75,373.25,59.25,
19720314,,127,74.625,371.5,59.375,
19720315,,125.75,73.75,373,59.875,
19720316,,125.25,73.75,373,59.25,
19720317,,125,73.875,377,59.25,
19720320,,125.75,73.5,376.875,58.875,
19720321,,125.5,73.125,376.5,58.5,
19720322,,126.75,72.25,377.75,58.25,
19720323,,128,72.75,382.25,57.875,
19720324,,129,71.75,382.75,57.625,
19720327,,128,70.75,385,57.5,
19720328,,127.375,70,384.875,56,
19720329,,125.5,69.125,380,54.5,
19720330,,126,70.25,382.25,55.5,
19720403,,125.75,70.625,385.5,56,
19720404,,126,71.125,389,56,
19720405,,127.375,71,392,56.625,
19720406,,126.75,70.75,391,56.75,
19720407,,128.75,70.75,389.25,56.75,
19720410,,129.5,70.625,390.5,56,
19720411,,130.25,71.125,390.5,55.75,
19720412,,130.5,71.125,397.5,55.625,
19720413,,132.75,70.875,394.25,55.5,
19720414,,132,71.125,395,55.875,
19720417,,132.75,70.875,395,56.125,
19720418,,132.75,70.75,395.75,56,
19720419,,131,70.5,391,56.25,
19720420,,128.5,70.375,387.75,56.25,
19720421,,127.75,71.125,385,55.875,
19720424,,126,70.5,385,55.125,
19720425,,124.75,70.125,381.5,55,
19720426,,126.5,70,380,55,
19720427,,127.75,69.5,381,55.25,
19720428,,130.375,69.75,386,56.25,
19720501,,130,69.625,382.5,56.25,
19720502,,127.5,70,380,56.25,
19720503,,128,71.125,379,56.75,
19720504,,126.75,71.375,384.5,56.875,
19720505,,127.25,71.5,388.75,57.5,
19720508,,126,71.375,386.25,57.625,
19720509,,126.5,70.625,379.25,57.25,
19720510,,126.5,71.125,383.75,56.5,
19720511,,128.875,71.5,383.5,57.25,
19720512,,129,71.5,382,57.25,
19720515,,129.25,71.375,386.5,57,
19720516,,129.25,71.5,383.75,56.75,
19720517,,128.75,71.125,389.5,57.125,
19720518,,128.5,71.375,394.5,56.75,
19720519,,129.875,72.25,396.25,57.25,
19720522,,130.625,72.875,401,57.625,
19720523,,129.5,72.375,402,56.625,
19720524,,130.5,73.5,403,56.625,
19720525,,131.625,74.75,404,57.625,
19720526,,132.5,75.75,404,58.75,
19720530,,133,76.375,395.5,58.875,
19720531,,132.875,75.125,397.75,59,
19720601,,132.25,75,399,59.25,
19720602,,131.75,73.875,398.5,59,
19720605,,131.5,71.875,394.5,59.125,
19720606,,130.375,71.5,393,58.625,
19720607,,129.75,71.25,395.25,58.375,
19720608,,129.5,71.375,392.75,58.125,
19720609,,129,70.875,391,57.875,
19720612,,128,71.875,387.75,59.25,
19720613,,128,73,392.75,60.375,
19720614,,129,74.5,399.75,60.5,
19720615,,129,73.875,397.5,61,
19720616,,129.75,74,398.75,61.375,
19720619,,130.75,74.375,396.5,61.625,
19720620,,131.75,74.625,397,61.75,
19720621,,133,75.125,397.5,61.75,
19720622,,133,74.875,395.75,62,
19720623,,133.25,74.25,395,62.25,
19720626,,133.25,73.875,392.25,60.875,
19720627,,133,73.375,392.25,61,
19720628,,133,73.5,390.625,60.125,
19720629,,133,74.125,391.5,59.875,
19720630,,133.5,74.125,392,60.25,
19720703,,133.75,74.125,395.125,61.125,
19720705,,135.125,74.5,400,61.875,
19720706,,137.5,74.75,403.75,62.625,
19720707,,136.5,74.5,404,62.75,
19720710,,136.25,74,399,62.625,
19720711,,135.75,73.5,397,62.375,
19720712,,135.5,74.375,395.75,62.25,
19720713,,135.25,74.375,391.75,61.875,
19720714,,135.5,75,393.25,62,
19720717,,136.125,74.625,388,61,
19720718,,136.5,75.375,388.5,61,
19720719,,135.25,75.25,390,61.875,
19720720,,136,75.625,390.75,62.125,
19720721,,137.25,76.5,396.5,62.375,
19720724,,139,77.625,398.75,62.75,
19720725,,140.5,74.875,398,62.25,
19720726,,140.75,75,394.5,61.625,
19720727,,145.25,75.5,397,59.5,
19720728,,143.5,76.125,398,59.5,
19720731,,142,75.875,400.75,59,
19720801,,147,75.375,410,60.125,
19720802,,145.75,76.5,409,61.5,
19720803,,144.25,76.875,415.25,62.375,
19720804,,141.75,76.625,416,63,
19720807,,141.75,76.5,417.75,61,
19720808,,142.25,76.25,418.25,61.25,
19720809,,143,75,423.5,62.25,
19720810,,144.75,75.5,423.5,62.875,
19720811,,145.5,77.75,425.5,63.625,
19720814,,145.125,78.375,424.75,65,
19720815,,144,78.25,420.25,65.25,
19720816,,145.25,78,416,65.25,
19720817,,144.75,78.75,413.25,65.75,
19720818,,145.5,79.625,411.5,66.625,
19720821,,145,79.75,410.5,68.125,
19720822,,145.25,81.125,412.75,69.875,
19720823,,145,80.25,413,69.25,
19720824,,144,79.125,407.25,66.75,
19720825,,139.75,78.75,406,68,
19720828,,139.25,79.125,404.25,67.875,
19720829,,141,79,408.75,67.5,
19720830,,141.25,79.875,408,67.5,
19720831,,141.25,81.125,408.5,68.75,
19720901,,141.75,81.25,406.25,68.25,
19720905,,141,81.125,404.75,67.75,
19720906,,140.125,81.25,401.25,67.375,
19720907,,139.75,81,399.5,67.375,
19720908,,138.25,81.25,398.75,67,
19720911,,137.25,80,396.5,65.75,
19720912,,134.5,79,395,65.375,
19720913,,135,80,398,65.75,
19720914,,134.875,79.625,399.5,65.5,
19720915,,133.5,80.125,397.75,66.5,
19720918,,131.75,80,396.25,66.5,
19720919,,132.5,80,397,67,
19720920,,132.75,79.375,400.5,66.5,
19720921,,134,78.875,399.5,66.5,
19720922,,135.5,78.125,398.25,67.625,
19720925,,134.5,78.5,398.25,67.75,
19720926,,136.25,78.875,398.125,67.625,
19720927,,138.5,79.75,407,69.125,
19720928,,140.5,80.5,404.25,69.625,
19720929,,141,81.125,406.5,69.125,
19721002,,139.125,81.75,405.25,69.625,
19721003,,139.75,82.75,406.75,70.25,
19721004,,139,83.375,403.25,70.875,
19721005,,136.75,82.875,395,71,
19721006,,138.5,82.875,401.5,71.125,
19721009,,139.25,83.25,400.25,71.125,
19721010,,141,83.125,394,71.625,
19721011,,140.25,82.625,390.75,71.5,
19721012,,137.5,83,384.5,72.125,
19721013,,136.5,82.5,379,71.75,
19721016,,135.875,81.75,364.5,71.125,
19721017,,135.5,82.875,370.25,71,
19721018,,136,83.75,379,72,
19721019,,136,83.625,378.5,70.5,
19721020,,138,84.125,387,71.875,
19721023,,140.75,84.125,390.5,72,
19721024,,142,84.375,389.25,72.5,
19721025,,141.75,84.75,383.5,72.875,
19721026,,142.5,84.375,377.5,74,
19721027,,143,83.875,378.75,73.25,
19721030,,144.25,82.375,379.75,73.375,
19721031,,143.75,83.5,385.5,74,
19721101,,143.25,85,389.5,74.375,
19721102,,141,84.5,391,74.875,
19721103,,143,85.25,387.75,74.375,
19721106,,143.5,85.75,381,74.875,
19721108,,141.75,85.625,376.5,74.75,
19721109,,141,85.25,371.5,74.75,
19721110,,141,85.625,372.25,75.5,
19721113,,140.25,86.375,376.75,76,
19721114,,142,86.625,388,76.25,
19721115,,143.125,87.25,384.25,76.75,
19721116,,143.75,87.75,385,76.875,
19721117,,143.5,87.875,384,77.625,
19721120,,143.5,87,385,77.375,
19721121,,144,87.25,387.25,78.125,
19721122,,143.5,88.75,394,78.25,
19721124,,144,89.125,389,79.125,
19721127,,142.75,88.5,385.5,78.75,
19721128,,143.75,87.5,382.25,78.5,
19721129,,143.5,86.875,387,77.75,
19721130,,142.5,87.25,391,77.75,
19721201,,142.75,88.125,398,78.125,
19721204,,145,87.625,400.5,78,
19721205,,146,87.75,398,78.25,
19721206,,146,88,397,79,
19721207,,147.25,88.375,396.75,80,
19721208,,147,88.5,403,80.375,
19721211,,146.75,87.75,404.25,80.875,
19721212,,149,87.75,399,81.5,
19721213,,149,87.75,396.25,81,
19721214,,148.75,87,395.5,80.625,
19721215,,148,87,398.125,80.5,
19721218,,147.5,86.125,394.5,79.875,
19721219,,146.25,85.75,390,78.875,
19721220,,144.75,84.875,389.5,78.875,
19721221,,144.25,85,385.5,78.375,
19721222,,145.75,86,390.5,77.375,
19721226,,145.25,86.625,391.75,77,
19721227,,146.25,86.625,399,77.25,
19721229,,148.5,87.5,402,79.625,
19730102,,146.625,88,409,80.125,
19730103,,148.25,89.125,409.25,81.5,
19730104,,149.5,89.375,411.75,81.125,
19730105,,148.75,89.875,418.75,82.625,
19730108,,148,90.25,418.75,83,
19730109,,148.25,90.25,417.5,82.75,
19730110,,145.25,90.25,411.5,83.125,
19730111,,148,91.125,415.25,84.375,
19730112,,146.625,92.375,420,84.75,
19730115,,145,91.25,423.25,84.625,
19730116,,145.25,90.75,422.5,85,
19730117,,146.5,91.25,424,84.75,
19730118,,146.75,92.25,428.875,85.125,
19730119,,145,93.5,439,85.625,
19730122,,146,93.625,436,87.25,
19730123,,146.75,92.875,444.25,86.5,
19730124,,146.5,92.875,436,86.25,
19730126,,144.5,93.25,437.75,86,
19730129,,143.75,93.5,441.5,86.25,
19730130,,145,94,439,86.75,
19730131,,145.75,94.75,435.5,89,
19730201,,143.5,95,429,87.5,
19730202,,143.5,94.75,429.75,87.75,
19730205,,143.75,93.625,430,87.375,
19730206,,143.375,92.375,437.75,86.875,
19730207,,143.25,90.5,438.5,82.5,
19730208,,143.375,91.375,437.5,82.25,
19730209,,144.25,93.25,446,84.125,
19730212,,147,92.875,448.5,85,
19730213,,147,90.875,451,81.5,
19730214,,146.25,88.5,445.625,79.5,
19730215,,145,88,441.5,78.75,
19730216,,144.75,88.75,441.25,80.125,
19730220,,145.125,89.625,447,81.5,
19730221,,143.5,89.625,443.75,81.125,
19730222,,143,89.375,444,80.125,
19730223,,143,89.375,433.5,77,
19730226,,140.5,89.5,431,76.25,
19730227,,137.375,89,423,75,
19730228,,140.25,89.375,431.5,76.25,
19730301,,139.75,89.625,427,75.75,
19730302,,143,89.5,442,79,
19730305,,145,89.75,438.75,79,
19730306,,147.75,90.875,437.25,80.25,
19730307,,149,89.5,441,80.75,
19730308,,149.125,90.375,440.5,80.75,
19730309,,148.25,89.5,439.5,80,
19730312,,147.5,90.375,442.5,80,
19730313,,148.375,91.75,444.75,83,
19730314,,149.5,92.625,448.75,83.875,
19730315,,148.25,91.5,444,83.5,
19730316,,146.75,90.75,443.5,82.5,
19730319,,145.5,90.375,437.875,81.25,
19730320,,145.75,91.5,437.75,80,
19730321,,143.75,91,430.5,79.75,
19730322,,140.75,89.875,425.5,79.5,
19730323,,139.75,90,428,79.375,
19730326,,138.5,90.5,432.5,81.5,
19730327,,139.5,92.5,437.5,82.375,
19730328,,140,93.375,434.5,83,
19730329,,139,95.125,438.75,84.375,
19730330,,139.75,94.375,431.5,84.375,
19730402,,138.5,94.25,428,82.625,
19730403,,137,94.625,424.25,81.125,
19730404,,137.5,95,423,81.5,
19730405,,137.5,94.125,422.875,81.5,
19730406,,139.75,95,423.5,82.5,
19730409,,142.25,96,429.5,84.875,
19730410,,143.5,97.75,434.25,85.625,
19730411,,143.125,101,430.25,87.625,
19730412,,144.75,99.875,432.25,87.5,
19730413,,145,98.25,429.75,86.875,
19730416,,143.25,97.5,425.25,86,
19730417,,143.375,98,425,86.375,
19730418,,143.5,100,432,87.125,
19730419,,144,100.75,429,87.5,
19730423,,142.75,101,425.5,87,
19730424,,136.375,102.375,415.25,87.25,
19730425,,135.25,103,407.5,87.375,
19730426,,139,99.5,409.75,87,
19730427,,139,97.75,405.25,85.5,
19730430,,138,96.25,408,85.75,
19730501,,136.25,95.625,411,84.5,
19730502,,136.5,97,415.375,84,
19730503,,137.5,98.75,424,85.25,
19730504,,137.75,99.5,421.75,86,
19730507,,135,99.625,417,86.75,
19730508,,136.5,98.125,422,84.5,
19730509,,136,94.75,414,81,
19730510,,135.75,95,410.5,78.875,
19730511,,134.75,94.5,405.625,78,
19730514,,132.25,92.25,396.125,76.625,
19730515,,134,93.625,400,76.25,
19730516,,134.375,94,400,76.5,
19730517,,133.125,94.625,397,75.5,
19730518,,133.375,94.125,389,74.25,
19730521,,132,94,386.75,73.25,
19730522,,134,93.75,390,73.625,
19730523,,135,93.625,389.75,73.25,
19730524,,139.75,96.375,400.5,76.25,
19730525,,141,96.5,408,77.125,
19730529,,142,96.125,323.5,76.5,
19730530,,142.75,94,319,74.5,
19730531,,140.75,93.875,314.75,75.25,
19730601,,136.75,93.375,310,74.75,
19730604,,135.75,93.375,309.75,73.625,
19730605,,138,94.625,317,74.375,
19730606,,139.625,95,315,73.625,
19730607,,141.75,96.75,322,75.75,
19730608,,142.75,98.125,324.25,78.5,
19730611,,141.5,98.125,323,78.625,
19730612,,143,99.5,329.25,79.5,
19730613,,145,96.75,329.5,77.75,
19730614,,146.125,96,321,76.375,
19730615,,145,95.375,318.25,74.5,
19730618,,143,94.5,314,74.5,
19730619,,141,95,318,75,
19730620,,142.5,95.5,321.5,73.875,
19730621,,141,94,315.5,73,
19730622,,141.75,95,316.75,73.375,
19730625,,138.5,95.375,308.75,73.125,
19730626,,139.875,96.25,312.75,73.875,
19730627,,142.5,97.625,313.25,74.5,
19730628,,142,98.625,319.75,76.25,
19730629,,143.125,98.5,317,77,
19730702,,141.625,98.25,305.25,76.625,
19730703,,139.625,97.25,298.5,76.5,
19730705,,138.125,97.375,300,76.75,
19730706,,138,96.75,300.25,77.25,
19730709,,140.5,96.25,305.5,76.25,
19730710,,141.375,95.125,314,75.375,
19730711,,144.25,95.25,320,74.625,
19730712,,143,94.875,313.75,73.375,
19730713,,142.75,92.75,310,69,
19730716,,145.375,93.75,319,69.5,
19730717,,143.625,93.75,310,69.75,
19730718,,141.875,92.625,314.25,68.625,
19730719,,143.375,91,315,69,
19730720,,143.625,92.25,315,69,
19730723,,143,93.25,312.75,70,
19730724,,143.125,95.375,311.75,71.125,
19730725,,143.75,95.5,319,74.5,
19730726,,144.25,97,318.75,74.5,
19730727,,143.375,97.25,318,74,
19730730,,144.875,97.125,320.75,73.375,
19730731,,144,95.75,314.5,72.375,
19730801,,142.5,94.875,311.5,71.375,
19730802,,144.25,92.75,313,69.375,
19730803,,143.25,91.5,311.5,69.5,
19730806,,144.625,93,311,70.875,
19730807,,145.125,93.625,308,70.75,
19730808,,143.875,94,304,69.75,
19730809,,143.75,94.125,303.5,69,
19730810,,143.75,93.625,301.25,68.375,
19730813,,141.375,93.5,301.5,67,
19730814,,141,91.625,299.75,65,
19730815,,142,90.875,302.5,65,
19730816,,141.125,90.125,300.5,65.25,
19730817,,140.125,90.5,300.5,65,
19730820,,139.75,91.125,299.75,64.5,
19730821,,140,89,297.75,61.75,
19730822,,139.875,87.75,297.75,62.25,
19730823,,141.875,88.25,299.25,62.875,
19730824,,140.25,86.75,298.25,63,
19730827,,142.25,87.25,304.5,62.625,
19730828,,145,87.875,304,63.25,
19730829,,144,89.375,304.25,66.25,
19730830,,142.25,88.75,303.25,65.625,
19730831,,140.875,88.875,301,65.25,
19730904,,141,87.625,296.875,64.25,
19730905,,142,87.375,297.75,63.875,
19730906,,143.5,87.75,298.25,63.75,
19730907,,144.375,87.875,296.125,62.75,
19730910,,141,87.5,293.25,62.875,
19730911,,141.875,86.875,286,62.25,
19730912,,142.875,86,290.5,61.875,
19730913,,142.625,84.875,292.25,61,
19730914,,143.25,86.625,298,61.25,
19730917,,142.5,86.625,272,62.25,
19730918,,142.5,86.75,259.5,63.5,
19730919,,141.5,89.75,270.75,65.5,
19730920,,143.25,89.875,268.75,67,
19730921,,145.25,90.125,260,67.75,
19730924,,145.375,91.125,251.5,69.125,
19730925,,146.625,91.5,259.5,70.875,
19730926,,145.875,91.5,260.5,71.75,
19730927,,145.5,94.25,260,70.625,
19730928,,146.25,92.875,258,69.25,
19731001,,145.75,94.375,257.75,67.125,
19731002,,145.125,95.5,255.5,67.5,
19731003,,142,96.25,248.5,68.375,
