"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"10004566.SH","500ETF嘗3堎6500","2022-09-19","0.7860","0.8567","0.8657","0.7860","0.1913","28.7496","0.6654"
"10004566.SH","500ETF嘗3堎6500","2022-09-20","0.8225","0.8502","0.8502","0.8140","-0.0065","-0.7587","0.8567"
"10004566.SH","500ETF嘗3堎6500","2022-09-21","0.8573","0.8292","0.8573","0.8292","-0.0219","-2.5731","0.8502"
"10004566.SH","500ETF嘗3堎6500","2022-09-22","0.8161","0.8098","0.8161","0.8022","-0.0167","-2.0206","0.8292"
"10004566.SH","500ETF嘗3堎6500","2022-09-23","0.8173","0.8456","0.9275","0.8161","0.0236","2.8710","0.8098"
"10004566.SH","500ETF嘗3堎6500","2022-09-26","0.8442","0.8579","0.8579","0.8442","-0.0111","-1.2773","0.8456"
"10004566.SH","500ETF嘗3堎6500","2022-09-27","0.8404","0.8404","0.8404","0.8404","-0.0798","-8.6720","0.8579"
