"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"10004568.SH","500ETF嘗3堎7000","2022-09-19","1.1699","1.2858","1.3088","1.1699","0.2404","22.9960","1.0454"
"10004568.SH","500ETF嘗3堎7000","2022-09-20","1.2283","1.2255","1.2571","1.2255","-0.0603","-4.6897","1.2858"
"10004568.SH","500ETF嘗3堎7000","2022-09-21","1.3200","1.2854","1.3200","1.2854","0.0053","0.4140","1.2255"
"10004568.SH","500ETF嘗3堎7000","2022-09-22","1.2691","1.2625","1.2691","1.2625","0.0102","0.8145","1.2854"
"10004568.SH","500ETF嘗3堎7000","2022-09-23","1.3054","1.3084","1.3586","1.3054","0.0598","4.7894","1.2625"
"10004568.SH","500ETF嘗3堎7000","2022-09-26","1.3427","1.3431","1.3431","1.2474","0.0410","3.1488","1.3084"
"10004568.SH","500ETF嘗3堎7000","2022-09-27","1.3333","1.3055","1.3410","1.3055","-0.0525","-3.8660","1.3431"
