"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"10004565.SH","500ETF嘗3堎6250","2022-09-19","0.6176","0.6737","0.6737","0.6176","0.1699","33.7237","0.5038"
"10004565.SH","500ETF嘗3堎6250","2022-09-20","0.6625","0.6541","0.6625","0.6541","-0.0200","-2.9669","0.6737"
"10004565.SH","500ETF嘗3堎6250","2022-09-21","0.6708","0.6580","0.6708","0.6580","0.0039","0.5962","0.6541"
"10004565.SH","500ETF嘗3堎6250","2022-09-22","0.6181","0.6346","0.6443","0.6181","-0.0042","-0.6575","0.6580"
"10004565.SH","500ETF嘗3堎6250","2022-09-23","0.6297","0.6547","0.7050","0.6297","0.0194","3.0537","0.6346"
"10004565.SH","500ETF嘗3堎6250","2022-09-26","0.6554","0.7123","0.7123","0.6554","0.0343","5.0590","0.6547"
"10004565.SH","500ETF嘗3堎6250","2022-09-27","0.6811","0.6811","0.6811","0.6811","-0.0312","-4.3802","0.7123"
