"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"10004567.SH","500ETF嘗3堎6750","2022-09-19","0.9718","1.0655","1.0909","0.9718","0.2184","25.7821","0.8471"
"10004567.SH","500ETF嘗3堎6750","2022-09-20","1.0193","1.0180","1.0412","1.0180","-0.0475","-4.4580","1.0655"
"10004567.SH","500ETF嘗3堎6750","2022-09-21","1.1022","1.0365","1.1022","1.0365","-0.0229","-2.1616","1.0180"
"10004567.SH","500ETF嘗3堎6750","2022-09-22","0.0000","1.0365","0.0000","0.0000","0.0040","0.3874","1.0365"
"10004567.SH","500ETF嘗3堎6750","2022-09-23","1.0400","1.0851","1.1397","1.0400","0.0571","5.5545","1.0365"
"10004567.SH","500ETF嘗3堎6750","2022-09-26","1.0824","1.0516","1.0824","1.0516","-0.0277","-2.5665","1.0851"
"10004567.SH","500ETF嘗3堎6750","2022-09-27","1.1033","1.0927","1.1033","1.0927","-0.0402","-3.5484","1.0516"
