"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"600390.SH","拻鄴訧掛","2010-01-04","21.0785","21.0785","21.2637","20.8316","0.1543","0.7375","20.9242"
"600390.SH","拻鄴訧掛","2010-01-05","21.1402","21.4026","21.4334","20.6773","0.3240","1.5373","21.0785"
"600390.SH","拻鄴訧掛","2010-01-06","21.2945","21.2945","21.7729","21.1865","-0.1080","-0.5047","21.4026"
"600390.SH","拻鄴訧掛","2010-01-07","21.5877","22.2821","23.1617","21.5414","0.9876","4.6377","21.2945"
"600390.SH","拻鄴訧掛","2010-01-08","22.0815","22.1895","22.4364","21.2945","-0.0926","-0.4155","22.2821"
"600390.SH","拻鄴訧掛","2010-01-11","22.1895","22.7605","22.8376","21.8346","0.5709","2.5730","22.1895"
"600390.SH","拻鄴訧掛","2010-01-12","22.7605","23.6246","23.8252","22.5444","0.8641","3.7966","22.7605"
"600390.SH","拻鄴訧掛","2010-01-13","23.1154","22.6216","23.3777","22.1432","-1.0030","-4.2456","23.6246"
"600390.SH","拻鄴訧掛","2010-01-14","22.6833","23.0228","23.1462","22.3901","0.4012","1.7735","22.6216"
"600390.SH","拻鄴訧掛","2010-01-15","23.0228","22.9611","23.3623","22.7759","-0.0617","-0.2681","23.0228"
"600390.SH","拻鄴訧掛","2010-01-18","22.8531","23.2851","23.3006","22.5907","0.3240","1.4113","22.9611"
"600390.SH","拻鄴訧掛","2010-01-19","23.2851","22.8222","23.4394","22.7605","-0.4629","-1.9881","23.2851"
"600390.SH","拻鄴訧掛","2010-01-20","22.7759","22.0661","23.1462","21.8964","-0.7561","-3.3130","22.8222"
"600390.SH","拻鄴訧掛","2010-01-21","22.0970","21.8038","22.4056","21.5877","-0.2623","-1.1888","22.0661"
"600390.SH","拻鄴訧掛","2010-01-22","21.4489","20.9088","21.4489","20.3687","-0.8950","-4.1047","21.8038"
"600390.SH","拻鄴訧掛","2010-01-25","20.0601","20.0447","20.5076","19.7360","-0.8641","-4.1328","20.9088"
"600390.SH","拻鄴訧掛","2010-01-26","19.9212","19.7052","20.1681","19.5354","-0.3395","-1.6936","20.0447"
"600390.SH","拻鄴訧掛","2010-01-27","19.7669","19.6126","20.0292","19.5663","-0.0926","-0.4699","19.7052"
"600390.SH","拻鄴訧掛","2010-01-28","19.6126","19.8903","19.8903","19.4737","0.2778","1.4162","19.6126"
"600390.SH","拻鄴訧掛","2010-01-29","19.6897","19.8441","20.0601","19.6897","-0.0463","-0.2327","19.8903"
"600390.SH","拻鄴訧掛","2010-02-01","19.9058","18.6559","19.9829","18.5016","-1.1882","-5.9876","19.8441"
"600390.SH","拻鄴訧掛","2010-02-02","18.9336","18.6867","19.2114","18.6713","0.0309","0.1654","18.6559"
"600390.SH","拻鄴訧掛","2010-02-03","18.6713","18.9799","19.1342","17.7918","0.2932","1.5690","18.6867"
"600390.SH","拻鄴訧掛","2010-02-04","18.8719","18.9336","19.2577","18.5170","-0.0463","-0.2439","18.9799"
"600390.SH","拻鄴訧掛","2010-02-05","18.5170","18.2084","18.5479","17.9461","-0.7252","-3.8305","18.9336"
"600390.SH","拻鄴訧掛","2010-02-08","18.1312","18.1158","18.3473","18.0849","-0.0926","-0.5085","18.2084"
"600390.SH","拻鄴訧掛","2010-02-09","18.1158","18.1158","18.1158","18.1158","","","18.1158"
"600390.SH","拻鄴訧掛","2010-02-10","18.2855","18.5324","18.6713","18.2855","0.4166","2.2998","18.1158"
