"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"002236.SZ","湮貌嘖爺","2010-01-04","72.8013","77.1944","77.3049","72.3992","4.4332","6.0928","72.7611"
"002236.SZ","湮貌嘖爺","2010-01-05","76.4002","75.0230","76.4002","74.4701","-2.1714","-2.8129","77.1944"
"002236.SZ","湮貌嘖爺","2010-01-06","74.4902","74.9928","75.6663","73.4045","-0.0302","-0.0402","75.0230"
"002236.SZ","湮貌嘖爺","2010-01-07","74.7918","72.5400","75.1436","72.3289","-2.4528","-3.2708","74.9928"
"002236.SZ","湮貌嘖爺","2010-01-08","72.2585","73.0828","73.2638","71.4945","0.5428","0.7483","72.5400"
"002236.SZ","湮貌嘖爺","2010-01-11","72.7008","74.5706","74.6912","70.8712","1.4878","2.0358","73.0828"
"002236.SZ","湮貌嘖爺","2010-01-12","74.3696","76.4303","78.5012","74.0881","1.8597","2.4939","74.5706"
"002236.SZ","湮貌嘖爺","2010-01-13","74.4902","75.0230","77.3552","74.3897","-1.4074","-1.8414","76.4303"
"002236.SZ","湮貌嘖爺","2010-01-14","76.0986","75.8875","76.5208","74.6912","0.8645","1.1524","75.0230"
"002236.SZ","湮貌嘖爺","2010-01-15","75.8875","74.0881","76.8928","73.2839","-1.7994","-2.3712","75.8875"
"002236.SZ","湮貌嘖爺","2010-01-18","73.9674","73.6759","73.9674","72.4797","-0.4122","-0.5563","74.0881"
"002236.SZ","湮貌嘖爺","2010-01-19","73.8870","75.8875","76.1489","73.1029","2.2116","3.0018","73.6759"
"002236.SZ","湮貌嘖爺","2010-01-20","75.8976","72.3691","76.0081","69.3834","-3.5184","-4.6364","75.8875"
"002236.SZ","湮貌嘖爺","2010-01-21","72.3791","72.8315","73.3844","70.9617","0.4624","0.6390","72.3691"
"002236.SZ","湮貌嘖爺","2010-01-22","71.8061","71.0421","71.8061","68.6596","-1.7894","-2.4569","72.8315"
"002236.SZ","湮貌嘖爺","2010-01-25","69.4840","69.4438","70.3485","68.4083","-1.5984","-2.2499","71.0421"
"002236.SZ","湮貌嘖爺","2010-01-26","69.4438","68.8004","70.0670","66.6290","-0.6434","-0.9265","69.4438"
"002236.SZ","湮貌嘖爺","2010-01-27","68.6898","68.3581","69.2528","67.8554","-0.4423","-0.6429","68.8004"
"002236.SZ","湮貌嘖爺","2010-01-28","68.3581","68.7401","68.9512","67.1517","0.3820","0.5588","68.3581"
"002236.SZ","湮貌嘖爺","2010-01-29","68.3581","70.2681","70.9315","67.6745","1.5280","2.2229","68.7401"
"002236.SZ","湮貌嘖爺","2010-02-01","69.3633","68.3581","69.3633","67.4533","-1.9100","-2.7182","70.2681"
"002236.SZ","湮貌嘖爺","2010-02-02","68.5591","67.8554","69.7453","67.0814","-0.5026","-0.7353","68.3581"
"002236.SZ","湮貌嘖爺","2010-02-03","67.8353","67.6544","68.3078","65.8952","-0.2011","-0.2963","67.8554"
"002236.SZ","湮貌嘖爺","2010-02-04","67.3629","68.3380","69.1522","67.3629","0.6836","1.0104","67.6544"
"002236.SZ","湮貌嘖爺","2010-02-05","66.6491","67.9057","69.0115","66.6491","-0.4323","-0.6325","68.3380"
"002236.SZ","湮貌嘖爺","2010-02-08","67.9057","68.0364","68.2073","67.0613","0.1307","0.1924","67.9057"
"002236.SZ","湮貌嘖爺","2010-02-09","67.0613","68.1570","68.8104","67.0613","0.1206","0.1773","68.0364"
"002236.SZ","湮貌嘖爺","2010-02-10","69.1824","70.7808","71.5548","68.4686","2.6237","3.8496","68.1570"
"002236.SZ","湮貌嘖爺","2010-02-11","70.7908","70.1675","70.8210","69.2125","-0.6132","-0.8664","70.7808"
"002236.SZ","湮貌嘖爺","2010-02-12","70.2681","72.5802","72.6908","70.2681","2.4126","3.4384","70.1675"
"002236.SZ","湮貌嘖爺","2010-02-22","70.5998","71.5045","72.3791","70.5998","-1.0756","-1.4820","72.5802"
"002236.SZ","湮貌嘖爺","2010-02-23","71.2733","70.4088","71.2733","69.4739","-1.0957","-1.5324","71.5045"
"002236.SZ","湮貌嘖爺","2010-02-24","70.3585","74.0378","75.6965","70.3585","3.6290","5.1542","70.4088"
"002236.SZ","湮貌嘖爺","2010-02-25","75.1436","77.4055","77.8076","74.3897","3.3676","4.5485","74.0378"
"002236.SZ","湮貌嘖爺","2010-02-26","77.4055","77.9081","79.2149","76.6817","0.5026","0.6494","77.4055"
"002236.SZ","湮貌嘖爺","2010-03-01","77.8980","77.6367","78.8028","76.4102","-0.2714","-0.3484","77.9081"
"002236.SZ","湮貌嘖爺","2010-03-02","78.1091","78.7224","79.4160","76.9028","1.0857","1.3984","77.6367"
"002236.SZ","湮貌嘖爺","2010-03-03","79.2652","78.0086","79.2652","77.1541","-0.7137","-0.9067","78.7224"
"002236.SZ","湮貌嘖爺","2010-03-04","77.8076","75.9378","78.2097","75.6161","-2.0708","-2.6546","78.0086"
"002236.SZ","湮貌嘖爺","2010-03-05","76.6917","78.1091","78.1996","75.6261","2.1714","2.8594","75.9378"
"002236.SZ","湮貌嘖爺","2010-03-08","78.3001","77.5060","78.3001","77.0034","-0.6032","-0.7722","78.1091"
