隞??,蝞蝘??園,撘?遠(??,?嗥?隞???,?擃遠(??,?雿遠(??,瘨刻?(??,瘨刻?撟?%),??遠(??
300895.SZ,??靽⊥,2020-09-24,71.0,69.09,76.0,69.07,56.44,446.166,12.65
300895.SZ,??靽⊥,2020-09-25,67.0,59.5,69.74,59.5,-9.59,-13.8804,69.09
300895.SZ,??靽⊥,2020-09-28,57.99,58.6,62.7,57.02,-0.9,-1.5126,59.5
300895.SZ,??靽⊥,2020-09-29,59.45,55.02,59.46,54.88,-3.58,-6.1092,58.6
300895.SZ,??靽⊥,2020-09-30,54.8,52.4,56.46,52.32,-2.62,-4.7619,55.02
300895.SZ,??靽⊥,2020-10-09,53.6,54.55,55.72,52.89,2.15,4.1031,52.4
300895.SZ,??靽⊥,2020-10-12,54.18,58.38,59.47,54.0,3.83,7.0211,54.55
300895.SZ,??靽⊥,2020-10-13,57.43,56.68,57.5,55.8,-1.7,-2.912,58.38
300895.SZ,??靽⊥,2020-10-14,56.45,59.2,61.77,56.45,2.52,4.446,56.68
300895.SZ,??靽⊥,2020-10-15,58.52,60.6,64.45,57.05,1.4,2.3649,59.2
300895.SZ,??靽⊥,2020-10-16,58.95,59.14,62.44,58.0,-1.46,-2.4092,60.6
300895.SZ,??靽⊥,2020-10-19,62.4,61.43,70.0,60.89,2.29,3.8722,59.14
300895.SZ,??靽⊥,2020-10-20,59.8,73.72,73.72,59.18,12.29,20.0065,61.43
300895.SZ,??靽⊥,2020-10-21,70.06,73.69,74.68,67.76,-0.03,-0.0407,73.72
300895.SZ,??靽⊥,2020-10-22,70.5,65.75,71.6,65.58,-7.94,-10.7749,73.69
300895.SZ,??靽⊥,2020-10-23,65.44,78.9,78.9,65.44,13.15,20.0,65.75
300895.SZ,??靽⊥,2020-10-26,79.98,77.51,79.98,73.8,-1.39,-1.7617,78.9
300895.SZ,??靽⊥,2020-10-27,75.0,72.35,75.7,70.83,-5.16,-6.6572,77.51
300895.SZ,??靽⊥,2020-10-28,72.51,73.4,76.4,71.02,1.05,1.4513,72.35
300895.SZ,??靽⊥,2020-10-29,69.0,68.18,71.3,67.6,-5.22,-7.1117,73.4
300895.SZ,??靽⊥,2020-10-30,67.5,64.88,69.35,64.88,-3.3,-4.8401,68.18
300895.SZ,??靽⊥,2020-11-02,65.0,65.86,67.63,64.3,0.98,1.5105,64.88
300895.SZ,??靽⊥,2020-11-03,66.35,67.95,70.3,65.4,2.09,3.1734,65.86
300895.SZ,??靽⊥,2020-11-04,67.8,65.1,68.89,64.81,-2.85,-4.1943,67.95
300895.SZ,??靽⊥,2020-11-05,66.0,68.49,69.19,65.71,3.39,5.2074,65.1
300895.SZ,??靽⊥,2020-11-06,68.0,64.52,69.36,64.0,-3.97,-5.7965,68.49
300895.SZ,??靽⊥,2020-11-09,64.71,66.32,67.0,64.71,1.8,2.7898,64.52
300895.SZ,??靽⊥,2020-11-10,65.98,63.23,65.99,62.9,-3.09,-4.6592,66.32
300895.SZ,??靽⊥,2020-11-11,62.7,63.21,64.5,62.23,-0.02,-0.0316,63.23
300895.SZ,??靽⊥,2020-11-12,63.33,60.2,63.65,59.89,-3.01,-4.7619,63.21
300895.SZ,??靽⊥,2020-11-13,60.06,60.83,61.49,60.06,0.63,1.0465,60.2
300895.SZ,??靽⊥,2020-11-16,60.7,62.3,62.89,60.11,1.47,2.4166,60.83
300895.SZ,??靽⊥,2020-11-17,61.89,63.33,63.8,61.22,1.03,1.6533,62.3
300895.SZ,??靽⊥,2020-11-18,62.4,61.45,62.96,60.71,-1.88,-2.9686,63.33
300895.SZ,??靽⊥,2020-11-19,61.0,62.06,62.4,59.41,0.61,0.9927,61.45
