,公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
0,2022-07-30,0,0,5.0,实施,2022-08-05,2022-08-04,
1,2021-07-20,0,0,2.5,实施,2021-07-27,2021-07-26,
2,2020-06-20,0,0,2.0,实施,2020-06-30,2020-06-29,
3,2019-06-14,0,0,1.29,实施,2019-06-20,2019-06-19,
4,2018-06-09,0,0,0.0,不分配,,,
