,公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
0,2022-05-24,0,1,0.5,实施,2022-05-31,2022-05-30,
1,2021-05-21,0,2,0.8,实施,2021-05-27,2021-05-26,
