,公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
0,2022-06-11,0.0,0,1.5,实施,2022-06-17,2022-06-16,
1,2021-06-04,0.0,0,1.6,实施,2021-06-10,2021-06-09,
2,2020-06-11,0.0,0,0.6,实施,2020-06-18,2020-06-17,
3,2019-06-20,0.0,0,1.0,实施,2019-06-27,2019-06-26,
4,2018-06-21,0.0,0,0.5,实施,2018-06-28,2018-06-27,
5,2017-06-15,0.0,0,0.5,实施,2017-06-22,2017-06-21,
6,2016-06-08,0.0,0,0.5,实施,2016-06-16,2016-06-15,
7,2015-06-12,0.0,0,0.5,实施,2015-06-18,2015-06-17,
8,2014-06-12,0.0,0,0.5,实施,2014-06-19,2014-06-18,
9,2013-06-07,0.0,0,0.2,实施,2013-06-19,2013-06-18,
10,2012-06-15,0.0,0,1.0,实施,2012-06-25,2012-06-21,
11,2011-06-10,0.0,0,1.5,实施,2011-06-20,2011-06-17,
12,2010-06-03,2.0,3,2.0,实施,2010-06-10,2010-06-09,
13,2009-06-18,0.0,0,1.5,实施,2009-06-24,2009-06-23,
14,2008-06-06,0.0,0,4.0,实施,2008-06-13,2008-06-12,
15,2007-06-11,0.0,0,4.0,实施,2007-06-15,2007-06-14,
16,2006-06-09,2.0,0,1.5,实施,2006-06-15,2006-06-14,
17,2005-06-15,0.0,0,1.5,实施,2005-06-22,2005-06-21,
18,2004-06-25,0.0,0,1.0,实施,2004-07-01,2004-06-30,
19,2003-07-11,0.0,0,1.0,实施,2003-07-18,2003-07-17,
20,2002-07-05,0.0,0,0.6,实施,2002-07-11,2002-07-10,
21,2001-05-17,0.0,0,0.5,实施,2001-05-25,2001-05-24,
22,2000-06-06,0.0,0,0.3,实施,2000-06-13,2000-06-12,
23,1999-05-04,1.0,2,3.0,实施,1999-05-10,1999-05-07,
24,1998-06-17,0.0,0,1.2,实施,1998-06-23,1998-06-22,
25,1997-06-14,6.0,4,2.0,实施,1997-06-20,1997-06-19,
26,1996-06-07,3.0,0,1.5,实施,1996-06-11,1996-06-10,
27,1995-11-09,0.0,0,0.5,实施,1995-11-22,1995-11-21,
28,1994-08-17,2.5,0,0.4,实施,1994-08-31,1994-08-30,
