,公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
0,2022-09-21,0,0,1.35,实施,2022-09-27,2022-09-26,
1,2022-04-27,0,0,0.0,不分配,,,
2,2021-09-17,0,0,2.48,实施,2021-09-27,2021-09-24,
3,2021-06-15,0,0,1.04,实施,2021-06-21,2021-06-18,
4,2020-09-22,0,0,0.79,实施,2020-09-28,2020-09-25,
5,2020-04-28,0,0,0.0,不分配,,,
6,2019-09-20,0,2,1.81,实施,2019-09-26,2019-09-25,
7,2019-04-27,0,0,0.0,不分配,,,
8,2018-10-24,0,0,1.98,实施,2018-10-31,2018-10-30,
9,2018-04-28,0,0,0.0,不分配,,,
10,2017-04-26,0,0,0.0,不分配,,,
11,2016-04-28,0,0,0.0,不分配,,,
12,2015-02-14,0,0,0.0,不分配,,,
13,2014-04-19,0,0,0.0,不分配,,,
14,2013-07-03,0,10,0.0,实施,2013-07-09,2013-07-08,2013-07-10
15,2012-02-21,0,0,0.0,不分配,,,
16,2011-03-02,0,0,0.0,不分配,,,
17,2010-03-20,0,0,0.0,不分配,,,
18,2009-06-05,0,0,0.2,实施,2009-06-11,2009-06-10,
19,2008-05-28,0,0,0.5,实施,2008-06-03,2008-06-02,
20,2007-05-29,0,5,0.4,实施,2007-06-01,2007-05-31,
21,2006-04-15,0,0,0.0,不分配,,,
22,2005-03-30,0,0,0.0,不分配,,,
23,2003-07-03,0,0,1.4,实施,2003-07-09,2003-07-08,
24,2002-07-05,0,0,1.5,实施,2002-07-12,2002-07-11,
25,2001-05-29,0,0,1.0,实施,2001-06-05,2001-06-04,
